n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
4500,0.379000,0.451000,0.153000,0.092000,0.074000,0.060000,0.100000,0.060000,0.212000,0.092000,0.078000,0.063000,0.056000,0.054000
500,0.005000,0.005000,0.008000,0.005000,0.004000,0.005000,0.005000,0.006000,0.009000,0.005000,0.005000,0.004000,0.004000,0.005000
5000,0.468000,0.571000,0.194000,0.108000,0.097000,0.076000,0.071000,0.096000,0.220000,0.113000,0.100000,0.078000,0.098000,0.092000
5500,0.609000,0.712000,0.224000,0.207000,0.089000,0.107000,0.104000,0.108000,0.290000,0.185000,0.083000,0.124000,0.078000,0.083000
6000,0.682000,0.924000,0.282000,0.169000,0.128000,0.138000,0.095000,0.115000,0.347000,0.168000,0.105000,0.101000,0.097000,0.096000
6500,0.802000,1.057000,0.323000,0.192000,0.138000,0.157000,0.132000,0.125000,0.364000,0.198000,0.162000,0.112000,0.132000,0.124000
7000,0.935000,1.270000,0.382000,0.213000,0.157000,0.112000,0.120000,0.137000,0.397000,0.226000,0.174000,0.148000,0.115000,0.123000
7500,1.068000,1.515000,0.427000,0.230000,0.136000,0.122000,0.125000,0.184000,0.494000,0.256000,0.158000,0.151000,0.117000,0.134000
8000,1.240000,1.710000,0.491000,0.281000,0.178000,0.201000,0.121000,0.149000,0.514000,0.289000,0.213000,0.176000,0.145000,0.149000
8500,1.407000,2.007000,0.539000,0.339000,0.187000,0.196000,0.148000,0.254000,0.587000,0.328000,0.183000,0.177000,0.176000,0.208000
9000,1.531000,2.334000,0.612000,0.326000,0.212000,0.164000,0.189000,0.229000,0.646000,0.362000,0.240000,0.187000,0.181000,0.167000
9500,1.708000,2.548000,0.674000,0.383000,0.241000,0.187000,0.224000,0.255000,0.720000,0.401000,0.263000,0.191000,0.182000,0.181000
1000,0.018000,0.019000,0.018000,0.011000,0.011000,0.009000,0.012000,0.019000,0.018000,0.010000,0.010000,0.009000,0.010000,0.010000
10000,1.900000,2.867000,0.726000,0.408000,0.266000,0.183000,0.191000,0.255000,0.823000,0.504000,0.294000,0.203000,0.225000,0.200000
1500,0.042000,0.043000,0.030000,0.020000,0.012000,0.015000,0.015000,0.022000,0.032000,0.021000,0.019000,0.016000,0.019000,0.019000
2000,0.075000,0.078000,0.043000,0.060000,0.054000,0.057000,0.044000,0.045000,0.042000,0.062000,0.042000,0.023000,0.030000,0.026000
2500,0.117000,0.123000,0.058000,0.037000,0.034000,0.031000,0.029000,0.027000,0.057000,0.037000,0.035000,0.028000,0.031000,0.061000
3000,0.168000,0.179000,0.101000,0.049000,0.071000,0.035000,0.032000,0.037000,0.106000,0.050000,0.084000,0.036000,0.036000,0.034000
3500,0.229000,0.250000,0.099000,0.062000,0.083000,0.043000,0.051000,0.053000,0.106000,0.081000,0.045000,0.040000,0.075000,0.067000
4000,0.300000,0.343000,0.124000,0.074000,0.061000,0.091000,0.051000,0.070000,0.132000,0.113000,0.063000,0.059000,0.067000,0.053000
4500,0.381000,0.443000,0.165000,0.124000,0.064000,0.096000,0.102000,0.066000,0.180000,0.094000,0.083000,0.071000,0.057000,0.084000
500,0.004000,0.004000,0.006000,0.005000,0.003000,0.007000,0.003000,0.005000,0.008000,0.006000,0.005000,0.006000,0.005000,0.005000
5000,0.468000,0.568000,0.186000,0.157000,0.092000,0.072000,0.067000,0.073000,0.202000,0.111000,0.102000,0.065000,0.063000,0.079000
5500,0.574000,0.737000,0.222000,0.135000,0.138000,0.088000,0.076000,0.075000,0.288000,0.137000,0.184000,0.089000,0.134000,0.089000
6000,0.682000,0.929000,0.279000,0.171000,0.106000,0.088000,0.121000,0.183000,0.300000,0.239000,0.105000,0.104000,0.108000,0.116000
6500,0.798000,1.051000,0.305000,0.189000,0.116000,0.095000,0.095000,0.122000,0.340000,0.208000,0.146000,0.111000,0.110000,0.140000
7000,0.924000,1.296000,0.384000,0.204000,0.137000,0.153000,0.138000,0.193000,0.409000,0.276000,0.162000,0.143000,0.139000,0.136000
7500,1.069000,1.484000,0.428000,0.247000,0.178000,0.122000,0.168000,0.207000,0.458000,0.257000,0.199000,0.163000,0.142000,0.166000
8000,1.218000,1.729000,0.480000,0.281000,0.211000,0.185000,0.138000,0.170000,0.518000,0.290000,0.204000,0.138000,0.151000,0.156000
8500,1.368000,1.940000,0.587000,0.307000,0.174000,0.156000,0.153000,0.235000,0.578000,0.323000,0.200000,0.187000,0.161000,0.179000
9000,1.540000,2.320000,0.592000,0.342000,0.226000,0.210000,0.180000,0.245000,0.664000,0.364000,0.239000,0.195000,0.167000,0.182000
