n,threads,time
70000000,24,0.095000
70000000,48,0.083000
70000000,96,0.095000
75000000,3,0.380000
75000000,6,0.199000
75000000,12,0.108000
75000000,24,0.081000
75000000,48,0.085000
75000000,96,0.113000
80000000,3,0.403000
80000000,6,0.226000
80000000,12,0.169000
80000000,24,0.092000
80000000,48,0.107000
80000000,96,0.099000
85000000,3,0.431000
85000000,6,0.225000
85000000,12,0.163000
85000000,24,0.086000
85000000,48,0.098000
85000000,96,0.105000
90000000,3,0.453000
90000000,6,0.257000
90000000,12,0.138000
90000000,24,0.077000
90000000,48,0.100000
90000000,96,0.086000
95000000,3,0.480000
95000000,6,0.258000
95000000,12,0.153000
95000000,24,0.079000
95000000,48,0.114000
95000000,96,0.106000
100000000,3,0.509000
100000000,6,0.281000
100000000,12,0.149000
100000000,24,0.081000
100000000,48,0.102000
100000000,96,0.094000
5000000,3,0.039000
5000000,6,0.025000
5000000,12,0.016000
5000000,24,0.011000
5000000,48,0.015000
5000000,96,0.016000
10000000,3,0.064000
10000000,6,0.043000
10000000,12,0.038000
10000000,24,0.020000
10000000,48,0.022000
10000000,96,0.036000
15000000,3,0.085000
15000000,6,0.075000
15000000,12,0.055000
15000000,24,0.029000
15000000,48,0.031000
15000000,96,0.050000
20000000,3,0.114000
20000000,6,0.070000
20000000,12,0.050000
20000000,24,0.042000
20000000,48,0.034000
20000000,96,0.048000
25000000,3,0.138000
25000000,6,0.096000
25000000,12,0.082000
25000000,24,0.036000
25000000,48,0.046000
25000000,96,0.047000
30000000,3,0.161000
30000000,6,0.103000
30000000,12,0.068000
30000000,24,0.048000
30000000,48,0.040000
30000000,96,0.052000
35000000,3,0.187000
35000000,6,0.101000
35000000,12,0.084000
35000000,24,0.051000
35000000,48,0.045000
35000000,96,0.051000
40000000,3,0.210000
40000000,6,0.134000
40000000,12,0.089000
40000000,24,0.047000
40000000,48,0.064000
40000000,96,0.053000
45000000,3,0.226000
45000000,6,0.136000
45000000,12,0.103000
45000000,24,0.049000
45000000,48,0.072000
45000000,96,0.066000
50000000,3,0.259000
50000000,6,0.154000
50000000,12,0.105000
50000000,24,0.056000
50000000,48,0.069000
50000000,96,0.075000
55000000,3,0.278000
55000000,6,0.161000
55000000,12,0.091000
55000000,24,0.079000
55000000,48,0.076000
55000000,96,0.110000
60000000,3,0.320000
60000000,6,0.165000
60000000,12,0.093000
60000000,24,0.071000
60000000,48,0.058000
60000000,96,0.088000
65000000,3,0.339000
65000000,6,0.191000
65000000,12,0.133000
65000000,24,0.066000
65000000,48,0.083000
65000000,96,0.087000
70000000,3,0.355000
70000000,6,0.194000
70000000,12,0.109000
70000000,24,0.079000
70000000,48,0.073000
70000000,96,0.092000
75000000,3,0.405000
75000000,6,0.203000
75000000,12,0.113000
75000000,24,0.075000
75000000,48,0.073000
75000000,96,0.098000
80000000,3,0.403000
80000000,6,0.222000
80000000,12,0.135000
80000000,24,0.077000
80000000,48,0.096000
80000000,96,0.102000
85000000,3,0.433000
85000000,6,0.243000
85000000,12,0.128000
85000000,24,0.071000
85000000,48,0.110000
85000000,96,0.087000
90000000,3,0.459000
90000000,6,0.254000
90000000,12,0.164000
90000000,24,0.110000
90000000,48,0.094000
90000000,96,0.103000
95000000,3,0.479000
95000000,6,0.244000
95000000,12,0.152000
95000000,24,0.088000
95000000,48,0.117000
95000000,96,0.104000
100000000,3,0.512000
100000000,6,0.275000
100000000,12,0.164000
100000000,24,0.135000
100000000,48,0.108000
100000000,96,0.133000
5000000,3,0.037000
5000000,6,0.023000
5000000,12,0.026000
5000000,24,0.013000
5000000,48,0.023000
5000000,96,0.017000
10000000,3,0.063000
10000000,6,0.038000
10000000,12,0.025000
10000000,24,0.024000
10000000,48,0.021000
10000000,96,0.039000
15000000,3,0.094000
15000000,6,0.060000
15000000,12,0.058000
15000000,24,0.036000
15000000,48,0.021000
15000000,96,0.035000
20000000,3,0.133000
20000000,6,0.070000
20000000,12,0.053000
20000000,24,0.024000
20000000,48,0.042000
20000000,96,0.058000
25000000,3,0.135000
25000000,6,0.093000
25000000,12,0.059000
25000000,24,0.044000
25000000,48,0.064000
25000000,96,0.055000
30000000,3,0.167000
30000000,6,0.087000
30000000,12,0.069000
30000000,24,0.040000
30000000,48,0.042000
30000000,96,0.066000
35000000,3,0.184000
35000000,6,0.116000
35000000,12,0.075000
35000000,24,0.046000
35000000,48,0.050000
35000000,96,0.058000
40000000,3,0.204000
40000000,6,0.117000
40000000,12,0.065000
40000000,24,0.073000
40000000,48,0.047000
40000000,96,0.070000
45000000,3,0.233000
45000000,6,0.127000
45000000,12,0.108000
45000000,24,0.046000
45000000,48,0.074000
45000000,96,0.064000
50000000,3,0.256000
50000000,6,0.155000
50000000,12,0.100000
50000000,24,0.083000
50000000,48,0.070000
50000000,96,0.102000
55000000,3,0.287000
55000000,6,0.158000
55000000,12,0.117000
55000000,24,0.065000
55000000,48,0.065000
55000000,96,0.075000
60000000,3,0.319000
60000000,6,0.160000
60000000,12,0.118000
