n,threads,time
80000000,48,0.076000
80000000,96,0.094000
85000000,3,0.346000
85000000,6,0.194000
85000000,12,0.109000
85000000,24,0.090000
85000000,48,0.075000
85000000,96,0.100000
90000000,3,0.384000
90000000,6,0.196000
90000000,12,0.115000
90000000,24,0.122000
90000000,48,0.073000
90000000,96,0.099000
95000000,3,0.406000
95000000,6,0.206000
95000000,12,0.113000
95000000,24,0.084000
95000000,48,0.101000
95000000,96,0.100000
100000000,3,0.425000
100000000,6,0.227000
100000000,12,0.160000
100000000,24,0.092000
100000000,48,0.091000
100000000,96,0.118000
5000000,3,0.035000
5000000,6,0.021000
5000000,12,0.012000
5000000,24,0.013000
5000000,48,0.014000
5000000,96,0.020000
10000000,3,0.055000
10000000,6,0.034000
10000000,12,0.020000
10000000,24,0.019000
10000000,48,0.021000
10000000,96,0.030000
15000000,3,0.079000
15000000,6,0.042000
15000000,12,0.045000
15000000,24,0.033000
15000000,48,0.021000
15000000,96,0.033000
20000000,3,0.091000
20000000,6,0.083000
20000000,12,0.034000
20000000,24,0.035000
20000000,48,0.042000
20000000,96,0.032000
25000000,3,0.122000
25000000,6,0.064000
25000000,12,0.039000
25000000,24,0.036000
25000000,48,0.035000
25000000,96,0.043000
30000000,3,0.135000
30000000,6,0.073000
30000000,12,0.045000
30000000,24,0.049000
30000000,48,0.045000
30000000,96,0.047000
35000000,3,0.152000
35000000,6,0.086000
35000000,12,0.053000
35000000,24,0.044000
35000000,48,0.061000
35000000,96,0.056000
40000000,3,0.181000
40000000,6,0.095000
40000000,12,0.054000
40000000,24,0.050000
40000000,48,0.061000
40000000,96,0.067000
45000000,3,0.197000
45000000,6,0.126000
45000000,12,0.093000
45000000,24,0.050000
45000000,48,0.051000
45000000,96,0.094000
50000000,3,0.213000
50000000,6,0.126000
50000000,12,0.068000
50000000,24,0.062000
50000000,48,0.083000
50000000,96,0.074000
55000000,3,0.251000
55000000,6,0.131000
55000000,12,0.093000
55000000,24,0.080000
55000000,48,0.070000
55000000,96,0.075000
60000000,3,0.251000
60000000,6,0.170000
60000000,12,0.081000
